PSG11	UniProtKB:Q9UQ72	Pregnancy-specific beta-1-glycoprotein 11
NEU3	UniProtKB:Q9UQ49	Sialidase-3
HSPA2	UniProtKB:P54652	Heat shock-related 70 kDa protein 2
IGSF5	UniProtKB:Q9NSI5	Immunoglobulin superfamily member 5
SLC22A11	UniProtKB:Q9NSA0	Solute carrier family 22 member 11
BSN	UniProtKB:Q9UPA5	Protein bassoon
HLA-E	UniProtKB:P13747	HLA class I histocompatibility antigen, alpha chain E
HLA-E	UniProtKB:P13747	HLA class I histocompatibility antigen, alpha chain E
HLA-E	UniProtKB:P13747	HLA class I histocompatibility antigen, alpha chain E
HLA-E	UniProtKB:P13747	HLA class I histocompatibility antigen, alpha chain E
CD3E	UniProtKB:P07766	T-cell surface glycoprotein CD3 epsilon chain
CD3E	UniProtKB:P07766	T-cell surface glycoprotein CD3 epsilon chain
CD3E	UniProtKB:P07766	T-cell surface glycoprotein CD3 epsilon chain
TLR8	UniProtKB:Q9NR97	Toll-like receptor 8
CD163L1	UniProtKB:Q9NR16	Scavenger receptor cysteine-rich type 1 protein M160
ABCG2	UniProtKB:Q9UNQ0	Broad substrate specificity ATP-binding cassette transporter ABCG2
MRGPRX1	UniProtKB:Q96LB2	Mas-related G-protein coupled receptor member X1
FCRL1	UniProtKB:Q96LA6	Fc receptor-like protein 1
FCRL2	UniProtKB:Q96LA5	Fc receptor-like protein 2
FCRL2	UniProtKB:Q96LA5	Fc receptor-like protein 2
PROCR	UniProtKB:Q9UNN8	Endothelial protein C receptor
TNFSF18	UniProtKB:Q9UNG2	Tumor necrosis factor ligand superfamily member 18
TNFSF18	UniProtKB:Q9UNG2	Tumor necrosis factor ligand superfamily member 18
ENG	UniProtKB:P17813	Endoglin
BTN2A3P	UniProtKB:Q96KV6	Putative butyrophilin subfamily 2 member A3
SLC32A1	UniProtKB:Q9H598	Vesicular inhibitory amino acid transporter
CD93	UniProtKB:Q9NPY3	Complement component C1q receptor
AOC3	UniProtKB:Q16853	Amine oxidase [copper-containing] 3
AOC3	UniProtKB:Q16853	Amine oxidase [copper-containing] 3
MSLNL	UniProtKB:Q96KJ4	Mesothelin-like protein
ASGR2	UniProtKB:P07307	Asialoglycoprotein receptor 2
ASGR1	UniProtKB:P07306	Asialoglycoprotein receptor 1
IGSF21	UniProtKB:Q96ID5	Immunoglobulin superfamily member 21
ADAMTS7	UniProtKB:Q9UKP4	A disintegrin and metalloproteinase with thrombospondin motifs 7
SLC38A1	UniProtKB:Q9H2H9	Sodium-coupled neutral amino acid symporter 1
ADAM21	UniProtKB:Q9UKJ8	Disintegrin and metalloproteinase domain-containing protein 21
HSPD1	UniProtKB:P10809	60 kDa heat shock protein, mitochondrial
HSPD1	UniProtKB:P10809	60 kDa heat shock protein, mitochondrial
HSPD1	UniProtKB:P10809	60 kDa heat shock protein, mitochondrial
ADAM29	UniProtKB:Q9UKF5	Disintegrin and metalloproteinase domain-containing protein 29
LRP6	UniProtKB:O75581	Low-density lipoprotein receptor-related protein 6
ITGA10	UniProtKB:O75578	Integrin alpha-10
AJAP1	UniProtKB:Q9UKB5	Adherens junction-associated protein 1
CALR	UniProtKB:P27797	Calreticulin
CALR	UniProtKB:P27797	Calreticulin
DCSTAMP	UniProtKB:Q9H295	Dendritic cell-specific transmembrane protein
DCSTAMP	UniProtKB:Q9H295	Dendritic cell-specific transmembrane protein
UNC5C	UniProtKB:O95185	Netrin receptor UNC5C
PSG3	UniProtKB:Q16557	Pregnancy-specific beta-1-glycoprotein 3
SCUBE2	UniProtKB:Q9NQ36	Signal peptide, CUB and EGF-like domain-containing protein 2
SLAMF7	UniProtKB:Q9NQ25	SLAM family member 7
CLEC4A	UniProtKB:Q9UMR7	C-type lectin domain family 4 member A
CLSTN2	UniProtKB:Q9H4D0	Calsyntenin-2
FZD3	UniProtKB:Q9NPG1	Frizzled-3
ACKR4	UniProtKB:Q9NPB9	Atypical chemokine receptor 4
ATP6AP2	UniProtKB:O75787	Renin receptor
ATP6AP2	UniProtKB:O75787	Renin receptor
ATP6AP2	UniProtKB:O75787	Renin receptor
PLAT	UniProtKB:P00750	Tissue-type plasminogen activator
TREM1	UniProtKB:Q9NP99	Triggering receptor expressed on myeloid cells 1
PLAU	UniProtKB:P00749	Urokinase-type plasminogen activator
PLAU	UniProtKB:P00749	Urokinase-type plasminogen activator
PLG	UniProtKB:P00747	Plasminogen
PLG	UniProtKB:P00747	Plasminogen
F10	UniProtKB:P00742	Coagulation factor X
F2	UniProtKB:P00734	Prothrombin
CD274	UniProtKB:Q9NZQ7	Programmed cell death 1 ligand 1
CPM	UniProtKB:P14384	Carboxypeptidase M
TGFBR3	UniProtKB:Q03167	Transforming growth factor beta receptor type 3
TGFBR3	UniProtKB:Q03167	Transforming growth factor beta receptor type 3
GPRC5B	UniProtKB:Q9NZH0	G-protein coupled receptor family C group 5 member B
TREM2	UniProtKB:Q9NZC2	Triggering receptor expressed on myeloid cells 2
ANXA1	UniProtKB:P04083	Annexin A1
ITGAD	UniProtKB:Q13349	Integrin alpha-D
ITGAD	UniProtKB:Q13349	Integrin alpha-D
NLGN3	UniProtKB:Q9NZ94	Neuroligin-3
NLGN3	UniProtKB:Q9NZ94	Neuroligin-3
NLGN3	UniProtKB:Q9NZ94	Neuroligin-3
PLA2G1B	UniProtKB:P04054	Phospholipase A2
TAS2R16	UniProtKB:Q9NYV7	Taste receptor type 2 member 16
BTN1A1	UniProtKB:Q13410	Butyrophilin subfamily 1 member A1
IL1RAPL1	UniProtKB:Q9NZN1	Interleukin-1 receptor accessory protein-like 1
IRAK4	UniProtKB:Q9NWZ3	Interleukin-1 receptor-associated kinase 4
PLXNB2	UniProtKB:O15031	Plexin-B2
FCRL5	UniProtKB:Q96RD9	Fc receptor-like protein 5
FCRL5	UniProtKB:Q96RD9	Fc receptor-like protein 5
RAET1G	UniProtKB:Q6H3X3	UL-16 binding protein 5
ADAMTS13	UniProtKB:Q76LX8	A disintegrin and metalloproteinase with thrombospondin motifs 13
HHIP	UniProtKB:Q96QV1	Hedgehog-interacting protein
TSPAN32	UniProtKB:Q96QS1	Tetraspanin-32
WNT3A	UniProtKB:P56704	Protein Wnt-3a
CLEC2D	UniProtKB:Q9UHP7	C-type lectin domain family 2 member D
CLEC2D	UniProtKB:Q9UHP7	C-type lectin domain family 2 member D
TREML1	UniProtKB:Q86YW5	Trem-like transcript 1 protein
CACNG4	UniProtKB:Q9UBN1	Voltage-dependent calcium channel gamma-4 subunit
EGFL7	UniProtKB:Q9UHF1	Epidermal growth factor-like protein 7
DPP4	UniProtKB:P27487	Dipeptidyl peptidase 4
DPP4	UniProtKB:P27487	Dipeptidyl peptidase 4
DPP4	UniProtKB:P27487	Dipeptidyl peptidase 4
DPP4	UniProtKB:P27487	Dipeptidyl peptidase 4
